COUNTY,CENTER,PHONE,AGES,CAPACITY,CITY,ADDR1,ADDR2,ZIP,Full Address,lon,lat
Essex,"Adassa Early Childhood/Educational Center, Inc.",973-275-1122,0 to 13,54,Maplewood,737 Irvington Ave,,7040,"737 Irvington Ave,Maplewood, NJ 7040",-74.244181,40.7315843
Bergen,JCC on the Palisades Nursery School,201-569-7900,0 to 13,421,Tenafly,411 E Clinton Ave,,7670,"411 E Clinton Ave,Tenafly, NJ 7670",-73.9442668,40.9121953
Bergen,Jewish Center of Teaneck Nursery School,201-837-0837,0 to 6,115,Teaneck,815 Prince Street,,7666,"815 Prince Street,Teaneck, NJ 7666",-74.0089822,40.8853619
Bergen,Kiddie College,201-461-6818,0 to 6,63,Palisades Park,21 Fairview Street,,7650,"21 Fairview Street,Palisades Park, NJ 7650",-74.0045502,40.8467351
Bergen,Kids Interactive Day School,201-677-9222,0 to 13,150,Oakland,8 Wright Way,,7436,"8 Wright Way,Oakland, NJ 7436",-74.248398,41.005825
Bergen,KinderCare Learning Center,201-750-9590,0 to 13,180,Old Tappan,176 Old Tappan Rd,,7675,"176 Old Tappan Rd,Old Tappan, NJ 7675",-73.9784574,41.016801
Bergen,"KinderCare Learning Center, Inc.",201-891-6559,0 to 13,195,Mahwah,25 Edison Rd,,7430,"25 Edison Rd,Mahwah, NJ 7430",-74.1642467,41.0264498
Bergen,"KinderCare Learning Center, Inc.",201-505-1680,0 to 13,180,Woodcliff Lake,450 Chestnut Ridge Rd,,7677,"450 Chestnut Ridge Rd,Woodcliff Lake, NJ 7677",-74.0726582,41.041191
Bergen,"Kindercare Learning Centers, Inc.",201-634-1893,0 to 13,189,Paramus,411 Sette Dr,,7652,"411 Sette Dr,Paramus, NJ 7652",-74.0702633,40.9472081
Bergen,Montessori Early Learning Center,201-923-6197,0 to 13,90,Englewood,113 Engle Street,,7631,"113 Engle Street,Englewood, NJ 7631",-73.970376,40.8963891
Bergen,"Mustard Seed School, Inc.",201-592-7900,0 to 13,71,Palisades Park,332 E Edsall Blvd,,7650,"332 E Edsall Blvd,Palisades Park, NJ 7650",-73.984937,40.846442
Bergen,"N.E.W. Christian Academy, Inc.",201-592-8611,0 to 13,227,Palisades Park,430 Commercial Ave,,7650,"430 Commercial Ave,Palisades Park, NJ 7650",-74.000369,40.85323
Camden,KinderCare Learning Center #551,856-429-2605,0 to 13,113,Voorhees,3 Britton Pl,,8043,"3 Britton Pl,Voorhees, NJ 8043",-75.0045679,39.8471214
Camden,KinderCare Learning Center #1161,856-424-8874,0 to 13,120,Cherry Hill,1815 Springdale Rd,,8003,"1815 Springdale Rd,Cherry Hill, NJ 8003",-74.9660949,39.9042331
Camden,Congregation M'Kor Shalom Nursery,856-424-7339,0 to 6,150,Cherry Hill,850 Evesham Rd,,8003,"850 Evesham Rd,Cherry Hill, NJ 8003",-74.930933,39.873526
Camden,Early Childhood Center of Congregation Beth El,856-675-1166,0 to 6,247,Voorhees,8000 Main Street,,8043,"8000 Main Street,Voorhees, NJ 8043",-74.9450475,39.8679546
Camden,El Centro Comunal Borincano Day Care,856-541-3696,0 to 6,40,Camden,617 N 2nd Street,,8102,"617 N 2nd Street,Camden, NJ 8102",-75.1233958,39.9523815
Camden,El Centro Comunal Borincano Day Care,856-541-0201,0 to 6,165,Camden,438 Martin Luther King Blvd,,8103,"438 Martin Luther King Blvd,Camden, NJ 8103",-75.1211504,39.9421574
Camden,El Shaddai Day Care Center,856-756-0175,0 to 13,20,Camden,328 Cherry Street,,8103,"328 Cherry Street,Camden, NJ 8103",-75.1232376,39.9341175
Camden,El Shaddai Christian Day Care Center II,856-317-2233,0 to 13,40,Pennsauken,3034 Marlton Pike,,8109,"3034 Marlton Pike,Pennsauken, NJ 8109",-75.0813424,39.9396012
Camden,Family Fun Day Care,856-665-0336,0 to 6,28,Pennsauken,6002 Wayne Ave,,8110,"6002 Wayne Ave,Pennsauken, NJ 8110",-75.0565236,39.9595946
Essex,Agape Children's Academy of New Jersey,973-351-8551,0 to 13,105,Irvington,645 Chancellor Ave,,7111,"645 Chancellor Ave,Irvington, NJ 7111",-74.234425,40.714523
Essex,Alpha Day Care Center,973-395-4811,0 to 13,33,Orange,105 Main Street,,7050,"105 Main Street,Orange, NJ 7050",-74.2236278,40.7701809
Essex,Baby Love Christian Academy I Learning Center,973-677-1110,0 to 13,38,East Orange,228 S Harrison Street,,7018,"228 S Harrison Street,East Orange, NJ 7018",-74.22565,40.7609939
Essex,Beth El Nursery School,973-763-0113,0 to 6,100,South Orange,222 Irvington Ave,,7079,"222 Irvington Ave,South Orange, NJ 7079",-74.2555427,40.7420712
Bergen,New Horizons Learning Center,973-777-7794,0 to 6,80,Lodi,361 Passaic Ave,,7644,"361 Passaic Ave,Lodi, NJ 7644",-74.0940109,40.8717103
Bergen,Our Gang at Holy Name Hospital/Sniffles Club,201-833-3235,0 to 13,172,Teaneck,718 Teaneck Rd,,7666,"718 Teaneck Rd,Teaneck, NJ 7666",-74.0106982,40.8831082
Bergen,Peek-A-Boo Infant and Child Development Center,201-935-9001,0 to 13,91,Lyndhurst,103 Ridge Rd,,7071,"103 Ridge Rd,Lyndhurst, NJ 7071",-74.1151111,40.8138102
Bergen,Kradle 2 Kindergarten,201-337-0057,0 to 13,132,Oakland,95 Bauer Dr,,7436,"95 Bauer Dr,Oakland, NJ 7436",-74.244611,41.002858
Bergen,The Learning Place Child Care Center,201-343-3077,0 to 6,95,Hackensack,400 Summit Ave,,7601,"400 Summit Ave,Hackensack, NJ 7601",-74.0527798,40.8969197
Bergen,The Learning Place of Dumont,201-387-0797,0 to 6,60,Dumont,75 W Madison Ave,,7628,"75 W Madison Ave,Dumont, NJ 7628",-73.997611,40.940053
Bergen,The Learning Experience,201-327-0800,0 to 13,180,Ramsey,160 N Franklin Tpke,,7446,"160 N Franklin Tpke,Ramsey, NJ 7446",-74.1336325,41.0633413
Bergen,Leonard Johnson Day Nursery,201-568-0817,0 to 13,180,Englewood,44 Armory Street,,7631,"44 Armory Street,Englewood, NJ 7631",-73.9798886,40.8948043
Camden,First Presbyterian Church Nursery School,856-429-0609,0 to 6,139,Haddonfield,20 Kings Hwy -East,,8033,"20 Kings Hwy -East,Haddonfield, NJ 8033",-75.0347164,39.8960752
Camden,The Goddard School #20,856-346-1234,0 to 13,120,Voorhees,1211 Haddonfield-Berlin Rd,,8043,"1211 Haddonfield-Berlin Rd,Voorhees, NJ 8043",-74.9516511,39.8240725
Camden,The Goddard School,856-566-5600,0 to 13,120,Laurel Springs,1167 Chews Landing Rd,,8021,"1167 Chews Landing Rd,Laurel Springs, NJ 8021",-75.0346059,39.818757
Camden,Haddonfield United Methodist Church MMO,856-429-0403,0 to 6,30,Haddonfield,29 Warwick Rd,,8033,"29 Warwick Rd,Haddonfield, NJ 8033",-75.0370164,39.8945504
Camden,Haddon Learning Center,856-858-7733,0 to 13,120,Oaklyn,220 W Clinton Ave,,8107,"220 W Clinton Ave,Oaklyn, NJ 8107",-75.0828227,39.9010782
Camden,The Happy Child Learning Center,856-614-0010,0 to 13,42,Camden,1051-1053 Haddon Ave,,8103,"1051-1053 Haddon Ave,Camden, NJ 8103",-75.1064608,39.9341976
Camden,"Hispanic Counseling and Family Services of NJ, Inc.",856-964-3883,0 to 13,60,Camden,3908 Westfield Ave,,8105,"3908 Westfield Ave,Camden, NJ 8105",-75.072519,39.953819
Camden,"Inquiring Minds Learning Center, Inc.",856-753-0220,0 to 13,65,Atco,45 E Taunton Rd,,8004,"45 E Taunton Rd,Atco, NJ 8004",-74.914434,39.7742549
Camden,Joyful Sounds,856-627-7800,0 to 6,30,Clementon,260 White Horse Ave,,8021,"260 White Horse Ave,Clementon, NJ 8021",-74.989249,39.812461
Essex,The Blessed Day Care Center,973-761-4768,0 to 13,63,Maplewood,1033 Chancellor Ave,,7040,"1033 Chancellor Ave,Maplewood, NJ 7040",-74.2508707,40.7228144
Essex,"Bobbie's Babies Child Care and Family Enrichment Center,LLC",973-353-0102,0 to 13,30,Newark,744 Broad Street,,7102,"744 Broad Street,Newark, NJ 7102",-74.1707927,40.7366887
Essex,"Busy Bee Academy, Inc.",973-882-8687,0 to 6,58,Fairfield,390 Fairfield Rd,,7004,"390 Fairfield Rd,Fairfield, NJ 7004",-74.279874,40.885436
Essex,Canaa Day Care Center,973-344-6775,0 to 13,48,Newark,205 Thomas Street,,7114,"205 Thomas Street,Newark, NJ 7114",-74.1717084,40.721573
Essex,Carlotta's Kids #2,973-414-1050,0 to 13,19,East Orange,239 Freeway Drive E,,7018,"239 Freeway Drive E,East Orange, NJ 7018",-74.2101767,40.7594426
Essex,"The Centre, Inc.",973-242-0022,0 to 13,180,Newark,23-35 Elizabeth Ave,,7108,"23-35 Elizabeth Ave,Newark, NJ 7108",-74.1880235,40.7221
Essex,The Children's Studio,973-746-6455,0 to 6,34,Upper Montclair,289 Park Street,,7043,"289 Park Street,Upper Montclair, NJ 7043",-74.2041279,40.8333445
Essex,The Child Care Center at Newark Beth Israel Medical Center,973-926-3999,0 to 6,100,Newark,176 Lyons Ave,,7112,"176 Lyons Ave,Newark, NJ 7112",-74.2127847,40.70935
Bergen,Little Learners Child Care Center,201-945-6838,0 to 6,60,Ridgefield,691 Prospect Ave,Zion Lutheran Church,7657,"691 Prospect Ave,Ridgefield, NJ 7657",-74.0027544,40.8377226
Bergen,Little Ferry Nursery School,201-440-8525,0 to 13,57,Little Ferry,165 Liberty Street,,7643,"165 Liberty Street,Little Ferry, NJ 7643",-74.0433344,40.8487867
Bergen,Little Tykes Nursery School,973-340-8470,0 to 13,75,Lodi,84 Corabelle Ave,,7644,"84 Corabelle Ave,Lodi, NJ 7644",-74.0900149,40.877189
Bergen,"The Little School, LLC",201-689-0034,0 to 13,60,Waldwick,40 Franklin Tpke,,7463,"40 Franklin Tpke,Waldwick, NJ 7463",-74.1204623,41.0105695
Bergen,"Loving Touch Nursery School, Inc.",201-722-8500,0 to 13,89,Hillsdale,365 Broadway,,7642,"365 Broadway,Hillsdale, NJ 7642",-74.042598,41.011851
Bergen,Margaret P. Muscarelle Child Development Center,973-478-3080,0 to 13,150,Garfield,1 Walnut Street,,7026,"1 Walnut Street,Garfield, NJ 7026",-74.1044087,40.8822732
Bergen,The Meadow's School,201-935-2112,0 to 13,204,Rutherford,102 Borough Street,,7070,"102 Borough Street,Rutherford, NJ 7070",-74.0989629,40.8187818
Camden,JumpStart Academy,609-567-3188,0 to 13,175,Sicklerville,23 Railroad Ave,,8081,"23 Railroad Ave,Sicklerville, NJ 8081",-74.897505,39.713548
Burlington,Goddard School,609-387-0311,0 to 13,148,Burlington Twp,1750 Bustleton Rd,,8016,"1750 Bustleton Rd,Burlington Twp, NJ 8016",-74.8187757,40.0817322
Burlington,Gramma's School House,856-829-6365,0 to 13,64,Cinnaminson,2118 Branch Pike,,8077,"2118 Branch Pike,Cinnaminson, NJ 8077",-75.0062,39.9882
Burlington,"Hickory Woods Child Care, Inc.",609-387-9531,0 to 6,15,Burlington,506 Elbow La,,08016-4132,"506 Elbow La,Burlington, NJ 08016-4132",-74.8479046,40.037218
Burlington,"The Joy of Learning Child Care Center, Inc.",856-764-3383,0 to 13,120,Delran,2902 Route 130 N,Tenby Plaza,8075,"2902 Route 130 N,Delran, NJ 8075",-74.9684213,40.0083221
Burlington,Just Children,856-234-8687,0 to 6,79,Mount Laurel,14000 J Commerce Parkway,,8054,"14000 J Commerce Parkway,Mount Laurel, NJ 8054",-74.9401067,39.9191531
Burlington,Just Children,856-840-0880,0 to 13,99,Mount Laurel,1001 Briggs Rd,Suite 260,8054,"1001 Briggs Rd,Mount Laurel, NJ 8054",-74.8987189,39.9742105
Burlington,Just Children,856-642-7676,0 to 13,184,Mount Laurel,2042 Briggs Rd,,8054,"2042 Briggs Rd,Mount Laurel, NJ 8054",-74.8960546,39.9637615
Burlington,Just Children,609-714-2244,0 to 13,174,Medford,130 Medford-Mt Holly Rd,,8055,"130 Medford-Mt Holly Rd,Medford, NJ 8055",-74.8254599,39.9113437
Burlington,Kid Academy Learning Center,609-261-5512,0 to 13,179,Westampton,798 Woodlane Rd,,8060,"798 Woodlane Rd,Westampton, NJ 8060",-74.8044848,40.0111057
Burlington,KidAcademy Learning Center,856-866-2060,0 to 13,115,Mount Laurel,7000 Atrium Way,,8054,"7000 Atrium Way,Mount Laurel, NJ 8054",-74.9559967,39.9153295
Passaic,"Ben Samuels Children's Center, Montclair State University",973-655-7177,0 to 13,200,Little Falls,80 Clove Rd,,7424,"80 Clove Rd,Little Falls, NJ 7424",-74.1989963,40.8673142
Essex,Christ Church Nur Sch & Drop-In-Center,973-379-6549,0 to 6,180,Short Hills,30 East Lane,,7078,"30 East Lane,Short Hills, NJ 7078",-74.3239513,40.7314416
Essex,Christian Family Day Care Center,973-673-9200,0 to 13,88,Orange,17 N Essex Ave,,7050,"17 N Essex Ave,Orange, NJ 7050",-74.2306018,40.7731493
Essex,Le Petite Academy,973-378-3500,0 to 13,84,Maplewood,1529 Springfield Ave,,7040,"1529 Springfield Ave,Maplewood, NJ 7040",-74.2537337,40.7227607
Essex,Lil Tykes Learning Center,973-676-1000,0 to 6,57,East Orange,385 Tremont Ave,,7018,"385 Tremont Ave,East Orange, NJ 7018",-74.2361139,40.752661
Essex,Bright Horizons at Roseland,973-992-2901,0 to 13,120,Roseland,3 Becker Farm Rd,,7068,"3 Becker Farm Rd,Roseland, NJ 7068",-74.3083842,40.8189194
Essex,Little Angels Nursery School,973-661-0537,0 to 6,60,Nutley,188 Washington Ave,,7110,"188 Washington Ave,Nutley, NJ 7110",-74.144599,40.812322
Essex,Little Tots Academy,973-597-0778,0 to 6,77,Livingston,30-34 Okner Parkway,,7039,"30-34 Okner Parkway,Livingston, NJ 7039",-74.354437,40.800778
Essex,The Little Ones,973-395-2727,0 to 13,217,East Orange,43 Prospect Street,,7017,"43 Prospect Street,East Orange, NJ 7017",-74.216969,40.768191
Bergen,Montessori of East Rutherford,201-896-0280,0 to 6,90,East Rutherford,144 Boiling Springs Ave,,7073,"144 Boiling Springs Ave,East Rutherford, NJ 7073",-74.0981996,40.8327986
Bergen,Bell's Little Learners Pre-School,201-843-9292,0 to 6,85,Paramus,70 Spring Valley Rd,,7652,"70 Spring Valley Rd,Paramus, NJ 7652",-74.0593219,40.9225662
Bergen,Bergen Early Learning Alliance,201-343-6000,0 to 6,73,Hackensack,284 Hackensack Ave Rear,Bldg,7601,"284 Hackensack Ave Rear,Hackensack, NJ 7601",-74.0434736,40.8859325
Bergen,"Greater Bergen Community Action, Inc.",201-384-9885,0 to 6,192,Bergenfield,100 Portland Ave,,7621,"100 Portland Ave,Bergenfield, NJ 7621",-73.9980884,40.9243638
Burlington,KinderCare Learning Center #1169,856-778-1948,0 to 13,125,Mount Laurel,641 S Church Street,,8054,"641 S Church Street,Mount Laurel, NJ 8054",-74.9398398,39.9456455
Burlington,KinderCare Learning Center #229,609-871-2110,0 to 13,96,Burlington,2004 Salem Rd,,8016,"2004 Salem Rd,Burlington, NJ 8016",-74.8755772,40.0475974
Burlington,KinderCare Learning Center #227,609-267-6878,0 to 13,60,Lumberton,240 Madison Ave,,8048,"240 Madison Ave,Lumberton, NJ 8048",-74.79727,39.983781
Burlington,KinderCare Learning Center,609-953-9111,0 to 13,172,Medford,411 Stokes Rd,,8055,"411 Stokes Rd,Medford, NJ 8055",-74.8155949,39.8780293
Burlington,The Laurel Tree Academy,856-273-1400,0 to 13,127,Mount Laurel,4106 Church Rd,,8054,"4106 Church Rd,Mount Laurel, NJ 8054",-74.9580484,39.9245831
Burlington,Learn A Way Child Development Center,609-267-2229,0 to 6,35,Hainesport,1015 Deacon Rd,,8036,"1015 Deacon Rd,Hainesport, NJ 8036",-74.817933,39.990818
Burlington,"Little Darlings of Mt. Laurel, Inc.",856-787-0737,0 to 13,124,Mount Laurel,624 Moorestown - Mt. Laurel Rd,,8054,"624 Moorestown - Mt. Laurel Rd,Mount Laurel, NJ 8054",-74.9306438,39.9608998
Burlington,Medford Day Care,609-953-3736,0 to 13,60,Southampton,1633 State Hwy #70,,8088,"1633 State Hwy #70,Southampton, NJ 8088",-79.5637036,41.0998237
Burlington,Moorestown Children's School,856-235-9040,0 to 13,30,Moorestown,760 Garwood Rd,,8057,"760 Garwood Rd,Moorestown, NJ 8057",-74.9278748,39.9999451
Burlington,Peppermint Tree Too Nursery School,609-261-2273,0 to 13,60,Lumberton,725 Eayrestown Road,,8048,"725 Eayrestown Road,Lumberton, NJ 8048",-74.782231,39.9746049
Bergen,Beth Rishon Nursery School,201-891-4466,0 to 6,90,Wyckoff,585 Russell Ave,,7481,"585 Russell Ave,Wyckoff, NJ 7481",-74.1831535,40.9922341
Bergen,"The Brightwell Center For Children, LLC",201-833-8848,0 to 6,57,Teaneck,1410 Teaneck Rd,,7666,"1410 Teaneck Rd,Teaneck, NJ 7666",-73.999796,40.8999691
Bergen,Bright Horizons Children's Center-Copper,201-438-1545,0 to 13,110,Lyndhurst,9 Polito Ave,,7071,"9 Polito Ave,Lyndhurst, NJ 7071",-74.1056985,40.8095173
Bergen,Bright Learning Center,201-944-8891,0 to 6,43,Palisades Park,515 Broad Ave,,7650,"515 Broad Ave,Palisades Park, NJ 7650",-73.9945474,40.8531103
Bergen,Building Blocks Child Center 1,201-447-3065,0 to 13,120,Waldwick,136 Wyckoff Ave,,7463,"136 Wyckoff Ave,Waldwick, NJ 7463",-74.131604,41.01018
Bergen,Carousel Early Learning Centers,201-722-9822,0 to 13,178,Westwood,200 3rd Ave,,7675,"200 3rd Ave,Westwood, NJ 7675",-74.0354957,40.9896742
Bergen,Carousel Early Learning Centers,201-767-0784,0 to 6,180,Norwood,535 Walnut Street,,7648,"535 Walnut Street,Norwood, NJ 7648",-73.9505058,40.9989108
Bergen,Children's Learning Center of Wyckoff,201-847-8400,0 to 13,217,Mahwah,11 Leighton Pl,,7430,"11 Leighton Pl,Mahwah, NJ 7430",-74.1646322,41.0252784
Bergen,"Children's Learning Center, Inc.",201-941-7277,0 to 13,60,Fairview,295 Hudson Pl,,7022,"295 Hudson Pl,Fairview, NJ 7022",-73.9994555,40.8098326
Bergen,"Children's Aid & Family Services Inc,",201-261-5970,0 to 13,260,Paramus,200 Robin Rd,Turrell Cc & Early Lea,07652-1414,"200 Robin Rd,Paramus, NJ 07652-1414",-74.0737808,40.9327613
Bergen,The Children's Studio,201-935-5269,0 to 13,135,East Rutherford,135 Ann Street,,7073,"135 Ann Street,East Rutherford, NJ 7073",-74.0954718,40.83135
Burlington,Project TEACH - Burlington,609-267-7595,0 to 6,26,Mount Holly,704 Woodlane Rd,,8060,"704 Woodlane Rd,Mount Holly, NJ 8060",-74.8224,40.013
Burlington,Under the Sun Learning Center of Marlton,856-985-8777,0 to 13,181,Marlton,701 Lippincott Dr,,8053,"701 Lippincott Dr,Marlton, NJ 8053",-74.9264,39.8822
Camden,Mother Goose Learning Center,856-227-0012,0 to 13,112,Blackwood,200 Little Gloucester Rd,,8012,"200 Little Gloucester Rd,Blackwood, NJ 8012",-75.0536836,39.8258529
Bergen,Child Development Center at Parsons Pond,201-269-1800,0 to 13,210,Franklin Lakes,800 Parsons Pond Dr,,07417-2603,"800 Parsons Pond Dr,Franklin Lakes, NJ 07417-2603",-74.18463,41.0218
Bergen,The Children's Place Early Care & Learning Center,201-507-9899,0 to 6,28,Rutherford,276 Park Ave,,7070,"276 Park Ave,Rutherford, NJ 7070",-74.1125743,40.8243045
Bergen,Christian Child Care Center,201-791-4788,0 to 6,35,Elmwood Park,21 Church Street,,7407,"21 Church Street,Elmwood Park, NJ 7407",-74.1203001,40.901004
Bergen,Creative Kingdom,201-562-2817,0 to 6,28,Hackensack,170 Prospect Ave,,7601,"170 Prospect Ave,Hackensack, NJ 7601",-74.0551024,40.8887842
Bergen,Early Learner's Child Care,201-229-1360,0 to 13,156,Little Ferry,201 Redneck Ave,,7643,"201 Redneck Ave,Little Ferry, NJ 7643",-74.0506588,40.8479248
Bergen,Episcopal Child Care Services,201-768-3207,0 to 6,80,Norwood,66 Summit Street,,7648,"66 Summit Street,Norwood, NJ 7648",-73.9633449,40.992222
Camden,Naudain Academy - A Montessori School,856-751-1510,0 to 6,112,Voorhees,6 School Lane,,8043,"6 School Lane,Voorhees, NJ 8043",-74.9258631,39.8601604
Camden,"The Neighborhood Center, Inc.",856-365-5295,0 to 13,174,Camden,278 Kaighns Ave,,8103,"278 Kaighns Ave,Camden, NJ 8103",-75.1245642,39.9301515
Camden,"Partners In Parenting, Child Development Center",856-614-7667,0 to 6,20,Camden,1700 Park Blvd,Camden High School,8103,"1700 Park Blvd,Camden, NJ 8103",-75.0980891,39.9344999
Camden,Partners In Parenting II,856-966-6616,0 to 6,26,Camden,3100 Federal Street,C/O Woodrow Wilson High School,8105,"3100 Federal Street,Camden, NJ 8105",-75.0784327,39.947227
Camden,Pennie's Place Child Care,856-546-0530,0 to 6,120,Audubon,256 & 266 White Horse Pike,,8106,"256 & 266 White Horse Pike,Audubon, NJ 8106",-91.4795138,36.551766
Camden,The Pre-School at Temple Emanuel,856-489-0034,0 to 13,122,Cherry Hill,1101 Springdale Rd,,8003,"1101 Springdale Rd,Cherry Hill, NJ 8003",-74.9691992,39.8807651
Camden,Providence Pediatric Medical DayCare,856-338-0900,0 to 6,60,Camden,1000 Atlantic Ave,,8104,"1000 Atlantic Ave,Camden, NJ 8104",-75.108323,39.9288302
Camden,Colors of the Rainbow Learning Center,856-667-0962,0 to 13,30,Cherry Hill,401 N Kings Hwy,,8002,"401 N Kings Hwy,Cherry Hill, NJ 8002",-74.9955467,39.9272926
Morris,"Morris County EduCare and Enrichment Center, LLC",973-713-0778,0 to 13,128,Succasunna,77 Sunset Strip,,7876,"77 Sunset Strip,Succasunna, NJ 7876",-74.6468729,40.8686977
Bergen,The First Step Nursery Sch & Day Care C.,201-944-9642,0 to 13,101,Fort Lee,2 Executive Dr,,7024,"2 Executive Dr,Fort Lee, NJ 7024",-73.9727603,40.8655362
Bergen,Four Seasons Early Learning Center,201-845-9044,0 to 6,90,Saddle Brook,486 Market Street,,7663,"486 Market Street,Saddle Brook, NJ 7663",-74.10056,40.897032
Bergen,Future's Best Nursery Academy,201-585-9400,0 to 13,98,Fort Lee,1435-10th Street,,7024,"1435-10th Street,Fort Lee, NJ 7024",-73.9832376,40.849053
Bergen,Future's Finest Day Care,201-845-6400,0 to 6,56,Rochelle Park,70 W Passaic Street,,7662,"70 W Passaic Street,Rochelle Park, NJ 7662",-74.075443,40.9111835
Bergen,Saddle Acres Schools - Englewood,201-569-0055,0 to 13,60,Englewood,106 Grand Ave,,7631,"106 Grand Ave,Englewood, NJ 7631",-73.9760143,40.8897016
Bergen,Saint Alban's Pre-School,201-337-5928,0 to 6,80,Oakland,1 Church La,,7436,"1 Church La,Oakland, NJ 7436",-74.2095184,41.0367773
Bergen,"Sara's Pre-School, Inc.",201-445-8980,0 to 13,128,Ridgewood,303 Prospect Street,,7450,"303 Prospect Street,Ridgewood, NJ 7450",-74.1150562,40.9713492
Bergen,Sarkis & Siran Gabrellian C.C.&Lrng.Ctr.,551-996-2987,0 to 13,253,Hackensack,30 Prospect Ave,,7601,"30 Prospect Ave,Hackensack, NJ 7601",-74.0555963,40.883869
Cumberland,"Little Lamb Preschool-Keener Kids, Inc.",856-692-5390,0 to 13,168,Vineland,1005 E Wheat Rd,,8360,"1005 E Wheat Rd,Vineland, NJ 8360",-75.004976,39.510262
Cumberland,Millville Day Care Center,856-825-9364,0 to 13,283,Millville,911 Columbia Ave,,8332,"911 Columbia Ave,Millville, NJ 8332",-75.046228,39.403305
Cumberland,Nazarene Acres Christian School,856-451-8516,0 to 13,105,Bridgeton,350 W Park Dr,,8302,"350 W Park Dr,Bridgeton, NJ 8302",-75.269637,39.435414
Cumberland,New Horizon's Child Enrichment Center,856-455-8377,0 to 6,84,Bridgeton,240 Walnut Street,,8302,"240 Walnut Street,Bridgeton, NJ 8302",-75.22699,39.435442
Cumberland,No More Tears,856-447-3312,0 to 13,51,Millville,3006 Cedarville Rd,,8332,"3006 Cedarville Rd,Millville, NJ 8332",-75.104884,39.364721
Cumberland,"Remsterville Learning Center-Next Generation, Inc.",856-455-7133,0 to 6,130,Bridgeton,Route 77 & Silverlake Rd,,8302,"Route 77 & Silverlake Rd,Bridgeton, NJ 8302",-77.4056161,39.6219007
Cumberland,Tiny Tots Pre-School & Child Care Center,856-794-4886,0 to 6,153,Vineland,158 E Elmer Rd,,8360,"158 E Elmer Rd,Vineland, NJ 8360",-75.025093,39.460523
Camden,"Respond, Inc-Bank Street Day Care",856-963-9155,0 to 6,120,Camden,155 Marlton Ave,,8102,"155 Marlton Ave,Camden, NJ 8102",-75.0902858,39.9435248
Camden,"Respond, Inc. - Infant Center",856-966-8282,0 to 6,120,Camden,309 Vine Street,,8102,"309 Vine Street,Camden, NJ 8102",-75.121289,39.9524231
Camden,"Respond, Inc-Winslow Day Care Center",609-567-0020,0 to 13,90,Winslow,Hall & Albertson Rd S,,8095,"Hall & Albertson Rd S,Winslow, NJ 8095",11.9688029,51.4969802
Bergen,Small Wonder,201-246-7700,0 to 6,65,North Arlington,9 Forest Street,,7031,"9 Forest Street,North Arlington, NJ 7031",-74.1313197,40.7786107
Bergen,Small World Child Development Center,201-445-1090,0 to 13,76,Waldwick,94 Crescent Ave,,7463,"94 Crescent Ave,Waldwick, NJ 7463",-74.1400759,41.01408
